epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2718,1.71417,2.89467,1.33081,0.01396,0.55319,0.0394,0.01987,1.74417,3.49773,1.42643,0.000656085,0.000656085,0.000656085
2,34.7267,1.93863,2.57707,1.48157,0.42173,0.2234,0.22227,0.11738,1.922,2.87256,1.6936,0.0011918,0.0011918,0.0011918
3,45.8563,1.95338,2.55976,1.51789,0.35763,0.2234,0.16068,0.06956,2.19662,3.56313,2.12156,0.00159551,0.00159551,0.00159551
4,57.1133,1.88598,2.38495,1.49981,0.30974,0.24826,0.14942,0.05808,2.08168,5.59051,1.85546,0.001406,0.001406,0.001406
5,68.0882,1.87148,2.30947,1.48235,0.31357,0.28723,0.17491,0.06796,2.0088,3.93546,1.72118,0.001208,0.001208,0.001208
6,79.0896,1.82656,2.16679,1.47117,0.56325,0.31915,0.35691,0.15352,1.94811,2.96056,1.63276,0.00101,0.00101,0.00101
7,90.0209,1.77045,2.13117,1.404,0.57516,0.32979,0.34782,0.15457,1.81372,2.53933,1.47892,0.000812,0.000812,0.000812
8,101.258,1.68525,1.93696,1.37599,0.83482,0.29787,0.37984,0.17979,1.81864,2.42284,1.575,0.000614,0.000614,0.000614
9,111.655,1.61736,2.06742,1.31998,0.68259,0.2766,0.37928,0.17447,1.78799,2.3397,1.53232,0.000416,0.000416,0.000416
10,122.135,1.57522,1.98664,1.27845,0.64869,0.28723,0.38878,0.18607,1.76414,2.27363,1.50412,0.000218,0.000218,0.000218
