epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2995,1.58063,2.5912,1.37279,0.12784,0.2766,0.06763,0.02881,1.8873,8.28192,1.82729,0.000663492,0.000663492,0.000663492
2,85.8685,1.82059,2.37588,1.53815,0.58349,0.2766,0.29709,0.11306,2.14995,3.35156,1.90799,0.00128626,0.00128626,0.00128626
3,131.637,1.84643,2.18618,1.56955,0.09615,0.1383,0.04777,0.02634,2.25017,3.71445,1.98709,0.00186503,0.00186503,0.00186503
4,177.523,1.78391,2.05364,1.54055,0.53529,0.29415,0.28393,0.1444,1.92188,2.74547,1.68538,0.001802,0.001802,0.001802
5,219.246,1.75866,1.94185,1.49415,0.58073,0.30946,0.33321,0.15784,1.80534,2.43538,1.62262,0.001736,0.001736,0.001736
6,264.077,1.66751,1.82643,1.43198,0.76736,0.30851,0.38029,0.17988,1.84613,2.33768,1.58627,0.00167,0.00167,0.00167
7,308.753,1.66248,1.75825,1.43755,0.45275,0.35106,0.33262,0.18424,1.82175,2.27296,1.65266,0.001604,0.001604,0.001604
8,356.266,1.61616,1.74476,1.43605,0.47495,0.39362,0.3468,0.17939,1.77171,2.47859,1.53945,0.001538,0.001538,0.001538
9,410.869,1.58668,1.7354,1.40182,0.48131,0.41489,0.39205,0.19967,1.64221,2.22411,1.48974,0.001472,0.001472,0.001472
10,462.228,1.56167,1.62972,1.37738,0.61386,0.30446,0.36467,0.17147,1.86831,2.36894,1.63509,0.001406,0.001406,0.001406
11,518.561,1.53478,1.62212,1.3525,0.57225,0.38428,0.40212,0.20932,1.74951,2.2676,1.5733,0.00134,0.00134,0.00134
12,574.624,1.51524,1.54955,1.3488,0.4006,0.34043,0.33422,0.15412,1.76503,2.33406,1.55837,0.001274,0.001274,0.001274
13,632.194,1.47149,1.46729,1.32231,0.38837,0.37154,0.33106,0.16162,1.81406,2.37767,1.60095,0.001208,0.001208,0.001208
14,690.267,1.47113,1.4911,1.31713,0.35789,0.44681,0.37751,0.18027,1.71159,2.32929,1.54367,0.001142,0.001142,0.001142
15,749.535,1.42097,1.40384,1.2901,0.60814,0.2766,0.34039,0.17137,1.78449,2.41832,1.55511,0.001076,0.001076,0.001076
16,809.062,1.40703,1.36982,1.28169,0.4819,0.40426,0.38756,0.18964,1.69499,2.20492,1.50871,0.00101,0.00101,0.00101
17,868.834,1.4209,1.3498,1.28726,0.60323,0.35587,0.35706,0.18503,1.77441,2.33517,1.54165,0.000944,0.000944,0.000944
18,930.36,1.3804,1.29427,1.2718,0.62937,0.43617,0.4447,0.21031,1.71609,2.18793,1.52312,0.000878,0.000878,0.000878
19,993.859,1.36295,1.27897,1.25515,0.45724,0.38298,0.37006,0.16824,1.81071,2.32114,1.58714,0.000812,0.000812,0.000812
20,1060.11,1.36644,1.29071,1.25462,0.63881,0.31915,0.35717,0.17409,1.88196,2.30179,1.65545,0.000746,0.000746,0.000746
21,1126.5,1.30818,1.21218,1.22597,0.67036,0.37234,0.41202,0.19246,1.81895,2.17467,1.59995,0.00068,0.00068,0.00068
22,1190.94,1.30543,1.20122,1.229,0.41455,0.50472,0.41184,0.21031,1.77506,2.08441,1.57346,0.000614,0.000614,0.000614
23,1259.36,1.26786,1.14264,1.20742,0.48903,0.43783,0.42774,0.18814,1.83582,2.15284,1.57104,0.000548,0.000548,0.000548
24,1324.38,1.26273,1.12062,1.20953,0.50607,0.3617,0.38687,0.19812,1.74501,2.17179,1.53404,0.000482,0.000482,0.000482
25,1393.52,1.25187,1.10049,1.20841,0.60693,0.37234,0.39229,0.19853,1.76619,2.16798,1.56387,0.000416,0.000416,0.000416
26,1474.03,1.2171,1.02476,1.18304,0.49366,0.42553,0.38255,0.19119,1.7669,2.16269,1.55894,0.00035,0.00035,0.00035
27,1560.63,1.16874,0.95673,1.14571,0.47176,0.45605,0.41696,0.21032,1.67383,2.01504,1.47247,0.000284,0.000284,0.000284
28,1628.49,1.14124,0.92986,1.11934,0.65958,0.39362,0.4376,0.22474,1.7652,2.07627,1.52536,0.000218,0.000218,0.000218
29,1687.41,1.13598,0.87607,1.12031,0.51833,0.44681,0.39779,0.20909,1.7777,2.04601,1.55245,0.000152,0.000152,0.000152
30,1743.87,1.11428,0.86203,1.12278,0.62055,0.3617,0.40097,0.20408,1.75021,2.0805,1.51855,8.6e-05,8.6e-05,8.6e-05
