epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2285,1.6033,2.71383,1.27086,0.00377,0.89362,0.0975,0.03965,1.52534,3.19366,1.33387,0.000656085,0.000656085,0.000656085
2,19.9062,1.81304,2.37856,1.43051,0.14349,0.19149,0.11064,0.05737,1.90498,3.13329,1.85358,0.0011918,0.0011918,0.0011918
3,29.5198,1.87199,2.31863,1.45373,0.08436,0.17021,0.04072,0.0152,2.09659,5.29571,1.94189,0.00159551,0.00159551,0.00159551
4,39.1972,1.87338,2.27433,1.47731,0.18831,0.29787,0.12589,0.05559,2.15139,3.56374,1.8346,0.001406,0.001406,0.001406
5,48.9791,1.86536,2.21051,1.50564,0.54615,0.2766,0.29966,0.13811,1.9805,2.96515,1.68182,0.001208,0.001208,0.001208
6,58.783,1.76647,2.10393,1.44845,0.51943,0.2766,0.28145,0.14048,1.88429,2.63167,1.66353,0.00101,0.00101,0.00101
7,68.8796,1.75366,2.0505,1.35034,0.65941,0.3617,0.39067,0.1897,1.83174,2.36005,1.53371,0.000812,0.000812,0.000812
8,78.5325,1.6589,1.95334,1.28146,0.57685,0.31915,0.33779,0.15407,1.91337,2.46622,1.5935,0.000614,0.000614,0.000614
9,87.9902,1.61365,2.09096,1.30945,0.56896,0.26682,0.33459,0.18138,1.77721,2.37023,1.50533,0.000416,0.000416,0.000416
10,97.669,1.56881,1.88724,1.26632,0.66955,0.2766,0.35995,0.19455,1.67475,2.34893,1.46862,0.000218,0.000218,0.000218
