epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5586,1.54465,2.48701,1.35135,0.43072,0.2766,0.29621,0.15531,1.90738,2.96146,1.6884,0.000663492,0.000663492,0.000663492
2,130.045,1.77712,2.23212,1.5154,0.23319,0.31915,0.11849,0.04553,1.98169,3.44733,1.77847,0.00128626,0.00128626,0.00128626
3,202.658,1.77968,2.11985,1.50484,0.42227,0.21777,0.21989,0.09484,2.06049,2.94656,1.8071,0.00186503,0.00186503,0.00186503
4,293.353,1.78487,2.04253,1.5202,0.43999,0.31915,0.3076,0.14374,1.85652,2.38544,1.64326,0.001802,0.001802,0.001802
5,398.166,1.74092,1.96495,1.49208,0.35747,0.23404,0.2,0.09645,1.9432,3.37219,1.81209,0.001736,0.001736,0.001736
6,483.666,1.65249,1.84258,1.44394,0.6671,0.31915,0.35322,0.17338,1.79154,2.46446,1.58205,0.00167,0.00167,0.00167
7,560.815,1.626,1.75247,1.40396,0.51323,0.30851,0.34194,0.15518,1.83184,2.24561,1.66753,0.001604,0.001604,0.001604
8,637.939,1.58893,1.68619,1.39554,0.34027,0.34043,0.24303,0.11456,1.79923,2.42058,1.62722,0.001538,0.001538,0.001538
9,721.329,1.59477,1.65147,1.39982,0.38358,0.35751,0.28614,0.14498,1.86535,2.57869,1.65337,0.001472,0.001472,0.001472
10,805.646,1.52321,1.58115,1.35422,0.50146,0.30851,0.32253,0.13942,1.77764,2.59955,1.58799,0.001406,0.001406,0.001406
11,889.416,1.50487,1.5298,1.33981,0.47444,0.32979,0.32804,0.18033,1.80449,2.34708,1.5825,0.00134,0.00134,0.00134
12,985.314,1.47747,1.55049,1.33015,0.37463,0.37234,0.31022,0.13593,1.84499,2.47362,1.58938,0.001274,0.001274,0.001274
13,1068.46,1.44915,1.43386,1.29436,0.52812,0.32979,0.36864,0.17769,1.83608,2.30217,1.62829,0.001208,0.001208,0.001208
14,1144.62,1.42301,1.39846,1.29212,0.50006,0.37234,0.40451,0.19189,1.83948,2.31044,1.63629,0.001142,0.001142,0.001142
15,1219.5,1.40734,1.34125,1.27889,0.68635,0.35106,0.4221,0.22722,1.74,2.26503,1.58083,0.001076,0.001076,0.001076
16,1293.34,1.3624,1.30139,1.25528,0.46481,0.43617,0.42619,0.221,1.80259,2.12747,1.58769,0.00101,0.00101,0.00101
17,1371.25,1.33111,1.26817,1.24424,0.55109,0.40486,0.42159,0.21746,1.79339,2.24561,1.61623,0.000944,0.000944,0.000944
18,1451.86,1.33845,1.23333,1.24419,0.66885,0.39362,0.43022,0.22044,1.72144,2.08706,1.55087,0.000878,0.000878,0.000878
19,1534.33,1.32658,1.22254,1.23743,0.53295,0.41489,0.42238,0.20357,1.74016,2.18518,1.52768,0.000812,0.000812,0.000812
20,1619.57,1.30583,1.17466,1.22285,0.8074,0.39362,0.47361,0.23446,1.73938,2.07609,1.54198,0.000746,0.000746,0.000746
21,1701.73,1.276,1.16379,1.20672,0.50387,0.43617,0.42625,0.21492,1.70966,2.11119,1.52875,0.00068,0.00068,0.00068
22,1812.85,1.24221,1.09828,1.18764,0.55938,0.43222,0.47612,0.21786,1.80823,1.98868,1.60345,0.000614,0.000614,0.000614
23,1913.53,1.21173,1.06124,1.1784,0.55773,0.39362,0.43167,0.21412,1.72708,2.07413,1.50785,0.000548,0.000548,0.000548
24,1996.51,1.2113,1.0607,1.17662,0.47734,0.51064,0.4357,0.22261,1.71243,2.02987,1.5204,0.000482,0.000482,0.000482
25,2078.21,1.19174,1.01735,1.17036,0.4975,0.46809,0.42366,0.20614,1.70029,2.19264,1.50549,0.000416,0.000416,0.000416
26,2158.36,1.1544,0.91406,1.13218,0.69068,0.32979,0.42467,0.21295,1.76496,2.14965,1.55971,0.00035,0.00035,0.00035
27,2238.79,1.12854,0.86099,1.11297,0.6483,0.43147,0.44959,0.23711,1.75211,2.16414,1.57054,0.000284,0.000284,0.000284
28,2321.72,1.09233,0.83342,1.10778,0.56805,0.46171,0.44803,0.21714,1.79942,2.20374,1.60281,0.000218,0.000218,0.000218
29,2405.64,1.06824,0.80371,1.0852,0.64202,0.42553,0.47561,0.24049,1.73191,2.06809,1.52445,0.000152,0.000152,0.000152
30,2489.16,1.05154,0.76067,1.0731,0.61168,0.42553,0.47033,0.23362,1.70299,2.10618,1.51965,8.6e-05,8.6e-05,8.6e-05
